friction_id,friction_family,definition,observable_metric,workaround_markers
fr-01,movement_restriction,"Range of motion is blocked, fabric binds, or equipment interferes with gait.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-02,access_latency,Needed object cannot be reached at the moment of use.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-03,occupied_hand,One or both hands are already committed to another responsibility.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-04,cold_dexterity,Gloves or cold reduce control of closures and small parts.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-05,wet_dexterity,"Water, sweat, slime, or grease reduces grip and precision.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-06,small_parts,"Tiny components are dropped, mixed, blown away, or lost.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-07,object_retention,Equipment lacks a reliable temporary holding point.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-08,dirty_clean_transition,"Mud, sand, grease, odor, or water spreads into clean spaces.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-09,wet_dry_transition,"Wet body or equipment must be changed, stored, or transported.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-10,thermal_moisture,"Exertion and rest produce overheating, sweat retention, or chilling.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-11,setup_complexity,"Too many parts, poor sequencing, or low visibility slows setup.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-12,teardown_complexity,"Wet, dirty, tangled, or hot components are difficult to pack.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-13,carry_load,Irregular or multiplying objects produce fatigue and repeated trips.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-14,bounce_access,Motion and vibration make storage unstable or inaccessible.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-15,tangle_management,"Long flexible items kink, snag, or entangle.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-16,ground_contamination,"Items must contact wet, muddy, sandy, or unsafe surfaces.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-17,visibility,"Low light, glare, fog, or poor conspicuity impairs the task.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-18,wind_stability,Lightweight temporary objects move or collapse in wind.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-19,field_repair,A repair must be performed without a clean bench or full tool set.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-20,portable_household,A household function must be recreated in a compact field system.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-21,silent_access,Noise or excess motion disrupts observation or hunting-adjacent tasks.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-22,environmental_protection,"Water, dust, dew, UV, temperature, or impact threatens equipment.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-23,collection_sorting,"Finds, harvest, waste, or specimens need separation during movement.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-24,field_recording,"Notes, labels, settings, and provenance are hard to capture outdoors.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-25,body_support,"Kneeling, sitting, bending, or standing creates localized fatigue.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-26,repetition_burden,A low-value physical action repeats enough to dominate the experience.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-27,checklist_failure,Multi-step departure or setup causes forgotten items or unsafe omissions.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-28,multi_person_coordination,"One organizer manages several people, routines, or dependencies.","time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-29,low_dexterity,Grip strength or joint mobility makes standard controls difficult.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-30,rest_access,A participant needs frequent stable rest where fixed seating is absent.,"time, errors, drops, contamination, discomfort, trips, or abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-31,animal_support,"Managing gear, restraint, or care for an animal companion while performing the activity.","leash tangles, spills, dropped items, interrupted control",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-32,cleanup,"Post-activity cleaning of gear, surfaces, or site before transport or storage.","time, residue, contamination spread, skipped cleaning",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-33,field_workstation,"No stable work surface in the field; tasks performed on ground, lap, or improvised supports.","drops, spills, posture strain, task abandonment",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-34,gear_staging,Arranging gear in usable order before or during an activity phase.,"search time, missed items, re-packing, sequence errors",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-35,hot_tool_staging,Safe temporary placement of hot or hazardous tools mid-task.,"burns, melted surfaces, unsafe placement, cooling waits",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-36,loading_access,"Moving gear in and out of vehicles, packs, or storage at transition points.","trips, strain, repeated loads, forgotten items",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-37,seasonal_storage,Storing activity gear across long seasonal gaps without degradation or loss.,"corrosion, lost parts, degraded consumables, space conflicts",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-38,stationary_exposure,"Prolonged fixed-position exposure to cold, heat, wind, or wet while the activity requires stillness.","shivering, breaks, early quit, numb extremities",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-39,tool_access,Reaching the correct tool mid-task without stopping or losing working position.,"time, drops, position loss, task interruption",DIY; modified; cut; taped; tied; repurposed; carried separately
fr-40,tool_transport,"Carrying tool sets between home, vehicle, and worksite repeatedly.","weight, disorganization, damage, multiple trips",DIY; modified; cut; taped; tied; repurposed; carried separately
